,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,armoede,honger,gezondheid,onderwijs,gendergelijkheid,water,energie,economische groei,innovatie,ongelijkheid,steden,duurzame consumptie,klimaatverandering,oceanen,ecosystemen,vreedzame,partnerschappen
,Einde aan armoede,Einde aan honger,Gezondheid en welzijn,Goed onderwijs,Vrouwen en mannen gelijk,Schoon drinkwater en goede sanitaire voorzieningen,Duurzame en betaalbare energie,Fatsoenlijke banen en economische groei,innovatie en duurzame infrastructuur,Minder ongelijkheid,Veilige en duurzame steden,Duurzame consumptie en productie,Klimaatverandering aanpakken,Bescherming van zeï¿½en en oceanen,Herstel ecosystemen en behoud biodiversiteit,"Vrede, veiligheid en rechtvaardigheid",Partnerschappen voor de doelen
50plus,3,3,4,4,3,3,0,2,0,15,0,0,0,7,0,3,0 
cda,5,50,84,91,34,38,56,69,9,89,56,12,30,238,47,69,38
christenunie,38,28,28,29,49,17,25,43,3,79,10,25,8,70,21,42,22
d66,0,36,84,70,22,40,39,37,15,110,26,21,36,148,29,50,42
groenlinks,7,18,38,41,34,30,69,42,24,78,15,17,36,94,21,86,27
klein,0,0,3,1,1,1,3,1,0,5,1,0,0,10,0,1,1
partijvoordedieren,3,82,37,10,13,40,23,20,9,6,17,30,49,111,160,22,7
pvda,51,84,254,205,213,82,88,282,22,291,83,44,47,384,37,134,85
pvv,0,22,62,28,33,19,63,25,6,133,14,12,21,144,12,139,161
sgp,1,8,14,9,22,5,5,4,0,46,5,2,4,52,11,36,13
sp,35,98,359,310,147,103,85,212,32,172,41,59,87,418,61,177,90
vvd,1,40,44,44,24,38,62,26,16,92,51,27,53,227,38,74,84